"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"hsa03008","Ribosome biogenesis in eukaryotes",74,-0.40127799402413,-1.52039841157301,0.0414110429447853,0.239748143364546,0.239748143364546,1531,"tags=24%, list=13%, signal=21%","55781/55813/51119/51068/84135/10813/83732/25996/10885/51096/10199/1457/29889/84128/26354/23160/22803/51602",0.276500599254472
"hsa04630","JAK-STAT signaling pathway",67,-0.408425750212139,-1.51820103090811,0.04858934169279,0.256319269838429,0.256319269838429,1909,"tags=21%, list=17%, signal=17%","3460/3597/10254/9021/8554/6775/9180/2273/9655/5771/3459/9306/6773/6772",0.257206466468838
"hsa00564","Glycerophospholipid metabolism",65,0.31669994880579,1.37309512671527,0.0311376655988615,0.197604416300467,0.197604416300467,2867,"tags=38%, list=25%, signal=29%","23175/11145/1609/10400/54675/5338/10555/137964/81544/5833/8525/79888/9663/64900/9489/10423/160851/23659/8527/84513/1119/5130/81490/23646/254531",0.352487857583619
"hsa04152","AMPK signaling pathway",86,0.302680548451849,1.38478694522035,0.0340264918693927,0.208191380743081,0.208191380743081,852,"tags=19%, list=8%, signal=17%","8408/2194/6720/5518/6199/84335/3480/29904/9230/5208/208/1938/7249/1978/64764/7248",0.321775918075361
"hsa04518","Integrin signaling",82,0.303262766941705,1.38969215168481,0.0310001181568584,0.197604416300467,0.197604416300467,1711,"tags=29%, list=15%, signal=25%","1277/1286/1284/7423/83660/5829/6696/3909/22801/3480/2316/208/2317/3914/6714/3913/55742/1282/3987/3675/5155/81/1956/7094",0.352487857583619
"hsa04911","Insulin secretion",33,0.379546816728258,1.42532535589679,0.0443901561018824,0.250379362670713,0.250379362670713,2286,"tags=36%, list=20%, signal=29%","6513/5578/3778/6804/1388/64764/2767/115/107/54795/6844/3710",0.321775918075361
"hsa04115","p53 signaling pathway",60,0.333314728569599,1.44533722890246,0.0226461410299758,0.152514827344735,0.152514827344735,1563,"tags=27%, list=14%, signal=23%","5054/9540/2810/27113/1019/84883/10572/55240/51512/1643/581/7249/1026/64393/83667/8795",0.352487857583619
"hsa04820","Cytoskeleton in muscle cells",110,0.31490326893957,1.51702514353865,0.00960049280470329,0.0812349391167201,0.0812349391167201,2082,"tags=28%, list=18%, signal=23%","23345/1277/5339/64423/4000/6709/1286/85301/1284/23224/83660/3339/1289/84033/22801/6711/7791/1282/3675/79784/127294/4627/4636/1465/7094/832/7431/2274/1729/271/25777",0.380730400722792
"hsa00561","Glycerolipid metabolism",41,0.386328680331586,1.52808116528742,0.0236231637669756,0.155912880862039,0.155912880862039,2214,"tags=37%, list=20%, signal=30%","10327/23175/1609/10555/137964/8525/9663/64900/57104/11343/26007/160851/441282/8527/84513",0.352487857583619
"hsa04510","Focal adhesion",127,0.308185833831939,1.53871012807053,0.00358370538986859,0.040780095815746,0.040780095815746,1711,"tags=24%, list=15%, signal=21%","1277/1286/5578/1284/7423/83660/5829/6696/3909/22801/3480/2316/54776/208/2317/9564/3914/6714/10298/3913/2889/7791/55742/1282/3675/23396/5155/4636/81/1956/7094",0.431707695803346
"hsa00515","Mannose type O-glycan biosynthesis",16,0.536655075061618,1.6110471661001,0.020818372627616,0.14312631181486,0.14312631181486,1730,"tags=38%, list=15%, signal=32%","29954/146664/79147/8704/8703/84892",0.352487857583619
"hsa04150","mTOR signaling pathway",117,0.341403430045609,1.67009187632026,0.000705218060024473,0.0145451224880048,0.0145451224880048,1707,"tags=26%, list=15%, signal=22%","201163/8408/51256/23175/5578/1856/9894/6199/6520/84335/3480/58528/208/7249/64121/1978/7248/57600/729438/9663/64900/2887/57521/79899/6195/2535/6396/83667/79726/64223",0.477270815362862
"hsa04382","Cornified envelope formation",78,0.369504964151015,1.69034279808846,0.00300300132273613,0.0353925155893901,0.0353925155893901,2015,"tags=29%, list=18%, signal=24%","3851/5339/1286/1294/5518/1284/140576/3909/2629/667/823/11187/2125/3914/2053/1282/6277/10999/5045/5046/57704/28227/24146",0.431707695803346
"hsa04721","Synaptic vesicle cycle",41,0.428141016994306,1.69346532490021,0.00596593818267295,0.0562502742937736,0.0562502742937736,1426,"tags=32%, list=13%, signal=28%","6809/9114/1212/533/535/6804/1211/155066/8218/10814/1759/1173/10497",0.407017918923954
"hsa04070","Phosphatidylinositol signaling system",69,0.385907948520664,1.73051797154255,0.00164863234465991,0.0247294851698987,0.0247294851698987,2286,"tags=35%, list=20%, signal=28%","90809/5578/1609/80271/56623/64419/5297/8871/113026/8525/9807/9677/3613/5305/23396/10423/160851/5298/3708/3631/3636/8527/3705/3710",0.45505986738723
"hsa00350","Tyrosine metabolism",11,0.643286093356053,1.7857702749777,0.0119859674876245,0.0919853318817693,0.0919853318817693,2117,"tags=55%, list=19%, signal=44%","221/2954/222/81889/2805/2806",0.380730400722792
"hsa00531","Glycosaminoglycan degradation",14,0.624718063798057,1.86994737252167,0.00431989648433097,0.0445489324946631,0.0445489324946631,3529,"tags=71%, list=31%, signal=49%","3423/4669/3073/6448/3425/2990/2588/2720/411/8372",0.407017918923954
"hsa00511","Other glycan degradation",16,0.628268716987513,1.88607279253971,0.00241578264255538,0.0299698300405658,0.0299698300405658,1221,"tags=44%, list=11%, signal=39%","4758/284004/3073/2629/64772/23324/4123",0.431707695803346
"hsa04974","Protein digestion and absorption",29,0.527521874376506,1.91825378589683,0.00111783079197824,0.0183371427062154,0.0183371427062154,1271,"tags=38%, list=11%, signal=34%","1277/206358/6510/1286/85301/1294/1284/1289/6520/80781/1282",0.45505986738723
"hsa04142","Lysosome biogenesis",204,0.376624328920951,2.01741634997638,5.46118859009189e-08,2.57456033532903e-06,2.57456033532903e-06,2246,"tags=33%, list=20%, signal=27%","4758/1186/2055/9907/10053/3423/206358/4864/1509/23503/9842/57617/5660/9114/1212/533/535/4669/9894/10577/84572/5476/84335/3073/2629/6609/967/1211/537/58528/54982/155066/64121/8218/3482/9179/4074/1497/91056/11182/1173/3916/57521/6448/9516/55353/2548/55823/51172/285362/8907/114881/57192/64223/1777/219931/114879/112936/54832/23659/10239/3425/54785/8906/26088/388552/53373",0.719512826338911
